person_id,username,password_hash,is_active
a76c83cb-10b1-506b-a278-aa041a059f62,auto.a76c83cb,pbkdf2_sha256$260000$dbdeac8a9e01e5743388ccd10f20ce4b$9160123c4d7bc70b331a149170b4ade131c376ab340ee64fe8ac02302d716497,1
d325153c-d7de-52cd-b019-d4a01c2888b8,auto.d325153c,pbkdf2_sha256$260000$e4c5a2c5fdcf571cdb92fcf824211337$e9a62a091b5f0a7c739501a6d54d5af1e466cb5ad39d71dfd81acead144451cf,1
e62b72c6-332c-5194-8f15-4266eb10083b,auto.e62b72c6,pbkdf2_sha256$260000$ef910a9fb9405d0121e4028beacc214b$212972c0334ad04f6f4331ea6dc2fbe7414a69cf40d760a1b5e4aaed0b0a78a2,0
8482b788-8235-52e7-b420-7e8ee2a4a635,auto.8482b788,pbkdf2_sha256$260000$6e7ba6526168c750c4447c1d2b67dff1$6e3e9a6356cdb903cab2fe97fbecb277a98ab91ba6970ca5ab7bb4922d200c1f,1
fc69cdd8-786b-56ba-9ea2-0629df9b24f2,auto.fc69cdd8,pbkdf2_sha256$260000$3181ce29373875fde9599611cdd7b4f8$a6c221853a713c3e807e87762f24425e145550b7b5b13cf3f3e8b85ef8b0e014,1
e12dead3-1c3d-57a6-8f22-82249ea48dc9,auto.e12dead3,pbkdf2_sha256$260000$ce6671be87d6e8e7c161d27e3dd7f571$b905312e3a19d0f6ab67388bc2c22430a2ba1094cb598a35be222ff91c733298,1
ff0bbe86-514b-583f-968a-831d4bfeacd2,auto.ff0bbe86,pbkdf2_sha256$260000$6061c6bbcdc4b59457592dab75c6b939$59d43ceb3860dc75d58123cb239f8e2013e2afcd914fb98b708fe7c7ee72aab7,1
b12ee356-b719-5f6a-8af7-3f7125439a2b,auto.b12ee356,pbkdf2_sha256$260000$f84da761696e8ce6f88d79ab3919fcf4$9876d29a1ae598ca3d798a13218f3f8e386913f1313d266fcea4880a5f47d9a1,1
60b31bb7-e2c0-5ba4-a220-693b9cac57c6,auto.60b31bb7,pbkdf2_sha256$260000$23c61b7184c35ef9deed8bc1c7f54044$f480308e22890bef2ee0794092e3cdd8494bd3c90993450b4b280e45ace0bb41,0
f214ad2e-a3fb-5f87-be6e-99812e2e7f35,auto.f214ad2e,pbkdf2_sha256$260000$1179e72e00905ecae3adb548b40934d2$50b4f661c489d0b87a3d168f7631080a739b3b13b3ebb11b8b309df8caf692b1,1
d8143312-3bed-5d6c-a1a3-f2cdf2a4678f,auto.d8143312,pbkdf2_sha256$260000$a6c40d9548979931dd6a8b84142895b8$af7e2703e506a0fdfe0fa7a26a02091355a4fd153c0b6cf1860aaf1efb404f90,1
64b85a0c-c59f-5821-bf6d-0052c233f8c3,auto.64b85a0c,pbkdf2_sha256$260000$e0098767e5a7117dfaa4fadc7049d6a0$5030ee691d3b0b664563ad766918ac4a2018fd1edb5007f5520984ccdd2b0169,1
1fd15e4c-b90f-572e-beed-94ba57b9f267,auto.1fd15e4c,pbkdf2_sha256$260000$c367f161533e62e380e406d79841a2dc$7dc0541a74dcc1eba61a4905f6d265e66dcb95dfe679450b55cfd57a9789a56b,1
0c98c1b4-b680-5799-aa7f-bb5d188d118a,auto.0c98c1b4,pbkdf2_sha256$260000$12a02f222eb306a3f5f8579550049055$4b7406c5ba86b336ab885b2576a8b7aab50422236b376b182262b1163425a824,1
6e27b293-6bab-58ed-bfdc-6836df8b82ac,auto.6e27b293,pbkdf2_sha256$260000$d90b613b4ddbd23c3a1ab30f11fa9529$1267f2188140ec45c7120ff9b89727161c90afb81324ab57e3d0db0a53c80499,1
2e5d2135-1892-59e9-b3a0-d105d3de8397,auto.2e5d2135,pbkdf2_sha256$260000$afa19d78241463dd66221f53fced179c$a2259d6f34211ba5f0c0ac597ae8d20ac06c41e192b7adfaf51580c21c58f30f,1
40afc263-80cc-59aa-a996-3cf4de24b9fa,auto.40afc263,pbkdf2_sha256$260000$0115ae7d752cf8ddcb5ebe55ed6ca890$38e044847ee1bb43ebe85a1d00bd0c96ba3ba79026e673a81a9e95212faf0e1d,1
4c214b40-d517-5d61-b693-f33e21bd336a,auto.4c214b40,pbkdf2_sha256$260000$ff6a92fdc06d3753687865430103798b$d1359be8b318167ebe5a404f8c9fd6e68e687a5e69c0be0e5d9bbefc3b82577c,1
c61b9547-0420-5ac6-8c15-5532c0d877f8,auto.c61b9547,pbkdf2_sha256$260000$edfadb7dcf17898c53edc2c37369cdfb$8518fd3f6e652d260142f67564a2a2c4a8fc664ae84332a715a45572b629986e,1
f08135e4-b136-53f8-bd29-975f7333bc64,auto.f08135e4,pbkdf2_sha256$260000$6c1d6ff087c4d5ceb9d54d28eca04fd9$ab6fab61fda7f58f10ff9a19dd29277ab6df497a53d00597c1832e9ee573901b,1
114f5f58-4aa8-5daf-bca5-99b371674720,auto.114f5f58,pbkdf2_sha256$260000$4ec980ce6b9b4da60e4a36ec7d7f7f15$7da0a0237ab11a6fbea582ba3f8239438d2a779394400e56ce9ab0021b06c80a,1
